,pickup_dt,borough,pickups,spd,vsb,temp,dewp,slp,pcp01,pcp06,pcp24,sd,hday
0,2015-01-01 01:00:00,Bronx,152,5.0,10.0,30.0,7.0,1023.5,0.0,0.0,0.0,0.0,Y
7,2015-01-01 02:00:00,Bronx,120,3.0,10.0,30.0,6.0,1023.0,0.0,0.0,0.0,0.0,Y
14,2015-01-01 03:00:00,Bronx,132,5.0,10.0,30.0,8.0,1022.3,0.0,0.0,0.0,0.0,Y
21,2015-01-01 04:00:00,Bronx,128,5.0,10.0,29.0,9.0,1022.0,0.0,0.0,0.0,0.0,Y
28,2015-01-01 05:00:00,Bronx,87,5.0,10.0,28.0,9.0,1021.8,0.0,0.0,0.0,0.0,Y
35,2015-01-01 06:00:00,Bronx,65,10.0,10.0,28.0,8.0,1020.7,0.0,0.0,0.0,0.0,Y
41,2015-01-01 07:00:00,Bronx,25,9.0,10.0,28.0,10.0,1020.5,0.0,0.0,0.0,0.0,Y
47,2015-01-01 08:00:00,Bronx,17,7.0,10.0,27.0,9.0,1020.5,0.0,0.0,0.0,0.0,Y
53,2015-01-01 09:00:00,Bronx,13,3.0,10.0,27.0,7.0,1020.0,0.0,0.0,0.0,0.0,Y
59,2015-01-01 10:00:00,Bronx,14,3.0,10.0,27.0,6.0,1020.2,0.0,0.0,0.0,0.0,Y
66,2015-01-01 11:00:00,Bronx,14,3.0,10.0,27.0,7.0,1020.9,0.0,0.0,0.0,0.0,Y
72,2015-01-01 12:00:00,Bronx,12,3.0,10.0,27.0,7.0,1020.9,0.0,0.0,0.0,0.0,Y
79,2015-01-01 13:00:00,Bronx,18,7.0,10.0,27.0,7.0,1021.2,0.0,0.0,0.0,0.0,Y
86,2015-01-01 14:00:00,Bronx,23,0.0,10.0,28.0,6.0,1021.4,0.0,0.0,0.0,0.0,Y
93,2015-01-01 15:00:00,Bronx,21,6.0,10.0,30.0,6.0,1021.9,0.0,0.0,0.0,0.0,Y
100,2015-01-01 16:00:00,Bronx,19,3.0,10.0,31.0,6.0,1020.7,0.0,0.0,0.0,0.0,Y
106,2015-01-01 17:00:00,Bronx,39,11.0,10.0,33.0,7.0,1019.1,0.0,0.0,0.0,0.0,Y
113,2015-01-01 18:00:00,Bronx,28,10.0,10.0,35.0,7.0,1017.3,0.0,0.0,0.0,0.0,Y
119,2015-01-01 19:00:00,Bronx,26,7.0,10.0,37.0,7.0,1016.2,0.0,0.0,0.0,0.0,Y
126,2015-01-01 20:00:00,Bronx,33,9.0,10.0,38.0,8.0,1015.8,0.0,0.0,0.0,0.0,Y
133,2015-01-01 21:00:00,Bronx,30,8.0,10.0,39.0,10.0,1015.2,0.0,0.0,0.0,0.0,Y
140,2015-01-01 22:00:00,Bronx,32,11.0,10.0,39.0,11.0,1015.1,0.0,0.0,0.0,0.0,Y
147,2015-01-01 23:00:00,Bronx,27,7.0,10.0,39.0,13.0,1015.1,0.0,0.0,0.0,0.0,Y
153,2015-01-02 00:00:00,Bronx,24,0.0,10.0,39.0,13.0,1015.3,0.0,0.0,0.0,0.0,N
159,2015-01-02 01:00:00,Bronx,19,7.0,10.0,38.0,15.0,1015.4,0.0,0.0,0.0,0.0,N
165,2015-01-02 02:00:00,Bronx,16,9.0,10.0,38.0,16.0,1015.2,0.0,0.0,0.0,0.0,N
171,2015-01-02 03:00:00,Bronx,7,8.0,10.0,38.0,16.0,1015.5,0.0,0.0,0.0,0.0,N
178,2015-01-02 04:00:00,Bronx,10,10.0,10.0,38.0,17.0,1016.4,0.0,0.0,0.0,0.0,N
185,2015-01-02 05:00:00,Bronx,9,10.0,10.0,37.0,17.0,1016.4,0.0,0.0,0.0,0.0,N
191,2015-01-02 06:00:00,Bronx,7,8.0,10.0,38.0,15.0,1016.2,0.0,0.0,0.0,0.0,N
197,2015-01-02 07:00:00,Bronx,15,8.0,10.0,37.0,16.0,1016.8,0.0,0.0,0.0,0.0,N
203,2015-01-02 08:00:00,Bronx,11,7.0,10.0,37.0,16.0,1017.6,0.0,0.0,0.0,0.0,N
210,2015-01-02 09:00:00,Bronx,10,5.0,10.0,37.0,15.0,1017.7,0.0,0.0,0.0,0.0,N
216,2015-01-02 10:00:00,Bronx,21,3.0,10.0,36.0,16.0,1018.0,0.0,0.0,0.0,0.0,N
223,2015-01-02 11:00:00,Bronx,21,8.0,10.0,36.0,16.0,1019.6,0.0,0.0,0.0,0.0,N
230,2015-01-02 12:00:00,Bronx,26,5.0,10.0,36.0,16.0,1020.9,0.0,0.0,0.0,0.0,N
236,2015-01-02 13:00:00,Bronx,30,7.0,10.0,36.0,16.0,1021.7,0.0,0.0,0.0,0.0,N
243,2015-01-02 14:00:00,Bronx,16,6.0,10.0,38.0,16.0,1022.4,0.0,0.0,0.0,0.0,N
250,2015-01-02 15:00:00,Bronx,19,8.0,10.0,39.0,17.0,1023.3,0.0,0.0,0.0,0.0,N
256,2015-01-02 16:00:00,Bronx,24,9.5,10.0,41.0,17.0,1023.1,0.0,0.0,0.0,0.0,N
263,2015-01-02 17:00:00,Bronx,35,11.0,10.0,40.0,17.0,1022.7,0.0,0.0,0.0,0.0,N
270,2015-01-02 18:00:00,Bronx,29,10.0,10.0,41.0,16.0,1022.6,0.0,0.0,0.0,0.0,N
277,2015-01-02 19:00:00,Bronx,34,9.0,10.0,42.0,16.0,1022.7,0.0,0.0,0.0,0.0,N
283,2015-01-02 20:00:00,Bronx,36,8.5,10.0,42.0,16.0,1023.8,0.0,0.0,0.0,0.0,N
290,2015-01-02 21:00:00,Bronx,29,8.0,10.0,42.0,15.0,1024.4,0.0,0.0,0.0,0.0,N
297,2015-01-02 22:00:00,Bronx,44,9.0,10.0,41.0,17.0,1025.1,0.0,0.0,0.0,0.0,N
304,2015-01-02 23:00:00,Bronx,53,7.0,10.0,40.0,16.0,1026.1,0.0,0.0,0.0,0.0,N
311,2015-01-03 00:00:00,Bronx,44,10.0,10.0,40.0,17.0,1027.3,0.0,0.0,0.0,0.0,N
318,2015-01-03 01:00:00,Bronx,27,6.0,10.0,38.0,18.0,1028.2,0.0,0.0,0.0075,0.0,N
325,2015-01-03 02:00:00,Bronx,30,5.0,10.0,38.0,18.0,1029.1,0.0,0.0,0.0308333333333333,0.0,N
332,2015-01-03 03:00:00,Bronx,14,5.0,10.0,37.0,18.0,1029.9,0.0,0.0,0.0833333333333333,0.0,N
339,2015-01-03 04:00:00,Bronx,20,3.0,10.0,36.0,19.0,1030.6,0.0,0.0,0.143333333333333,0.0,N
345,2015-01-03 05:00:00,Bronx,14,5.0,10.0,35.0,20.0,1031.3,0.0,0.0,0.0,0.0,N
351,2015-01-03 06:00:00,Bronx,15,7.0,10.0,35.0,18.0,1031.5,0.0,0.0,0.180833333333333,0.0,N
358,2015-01-03 07:00:00,Bronx,12,0.0,10.0,34.0,18.0,1031.8,0.0,0.0,0.255833333333333,0.0,N
